feature,usage,usage_pct,is_dead,attack_ratio,corr_brightness,corr_boominess,corr_warmth,corr_hardness,corr_depth,corr_roughness,corr_sharpness,corr_loudness,corr_reverb
630,7.0,0.0021333138,False,0.0,-0.03330879,0.030518388,0.034980055,-0.04167632,0.029153073,-0.035859164,-0.03777316,0.020189399,0.10881828
631,1.0,0.00030475913,False,0.0,-0.03118059,0.030473655,0.03428687,-0.041925687,0.029457066,-0.035176214,-0.034863357,0.018921765,0.10789592
632,194.0,0.059123266,False,12.876873,-0.053926274,0.0419137,0.05195427,-0.05452408,0.04291151,-0.061981253,-0.053738207,0.02526971,0.083660915
633,7.0,0.0021333138,False,2890.7532,-0.031811543,0.03065975,0.033611853,-0.038698625,0.030511498,-0.036402788,-0.035055164,0.017167725,0.10728455
634,7.0,0.0021333138,False,15.128484,-0.034743454,0.03159016,0.036243007,-0.04356468,0.02974024,-0.036896046,-0.039008345,0.022892214,0.10660448
635,4.0,0.0012190365,False,0.0,-0.034890544,0.032969926,0.036864713,-0.043318693,0.03448448,-0.03855445,-0.038356878,0.018605953,0.10770829
636,2.0,0.00060951826,False,0.0,-0.032992188,0.031885505,0.03513516,-0.040860996,0.03140519,-0.036224194,-0.03690335,0.020384712,0.107738644
637,1.0,0.00030475913,False,615.3683,-0.03354641,0.030986987,0.034894742,-0.040873606,0.029814629,-0.03613886,-0.037388943,0.020038825,0.10750061
638,1.0,0.00030475913,False,0.0,-0.034794755,0.034563843,0.037515108,-0.04320341,0.034383297,-0.036973193,-0.03824409,0.021780474,0.10748327
639,308017.0,93.870995,False,0.55026376,0.0318658,-0.18055943,-0.07920673,0.09922693,-0.18264338,0.026023572,0.033177663,-0.15111612,-0.058827184
640,5.0,0.0015237957,False,529.1557,-0.03195839,0.029797483,0.03344777,-0.0405967,0.030707294,-0.035121284,-0.034588356,0.017097613,0.10810724
641,313973.0,95.686134,False,0.49557135,0.03751311,-0.1811922,-0.08448341,0.13110255,-0.17179537,0.0332687,0.04863796,-0.1674057,-0.066748604
642,3.0,0.0009142774,False,0.0,-0.032614682,0.031084554,0.03498554,-0.04149017,0.03157969,-0.035441328,-0.036267247,0.019603012,0.10826502
643,3.0,0.0009142774,False,3736.1755,-0.034693416,0.03192186,0.03652269,-0.043833315,0.031390097,-0.03717586,-0.03820258,0.022067795,0.10763666
644,252184.0,76.85538,False,0.21482214,0.1262863,-0.18349028,-0.10694405,0.13078132,-0.14474232,0.1699179,0.1405398,-0.09483706,-0.07789118
645,2.0,0.00060951826,False,0.0,-0.03130228,0.030152183,0.032977447,-0.039913654,0.030506302,-0.03511879,-0.034361247,0.019326152,0.10754468
646,479.0,0.14597963,False,109.131035,-0.135144,0.11708335,0.12951061,-0.13341312,0.10927405,-0.1322801,-0.13204557,0.09098147,0.06286312
647,8.0,0.002438073,False,2.3500211,-0.03559623,0.03546673,0.037758052,-0.04236992,0.03457274,-0.03804288,-0.039478846,0.016379712,0.108335726
648,8.0,0.002438073,False,2.0823152,-0.034429118,0.033297174,0.037341006,-0.042115923,0.033918656,-0.037143964,-0.038531024,0.017960753,0.10788462
649,12.0,0.0036571096,False,204.3131,-0.034199364,0.031676736,0.035152074,-0.037652418,0.031558838,-0.035947565,-0.03723209,0.01766795,0.1083934
650,4.0,0.0012190365,False,4026.5176,-0.031857375,0.031779792,0.035768665,-0.04095534,0.03276605,-0.034068096,-0.03537163,0.019694623,0.10795759
651,6.0,0.0018285548,False,3865.1077,-0.03458338,0.033282436,0.036668908,-0.041946575,0.033038866,-0.035794627,-0.038666688,0.019986311,0.10773269
652,1.0,0.00030475913,False,804.9624,-0.03499193,0.034365293,0.037880905,-0.042397086,0.033422038,-0.03732648,-0.039182685,0.019698499,0.10755539
653,324244.0,98.816315,False,0.78487664,-0.0015309121,-0.1237564,-0.05031229,0.094890565,-0.1605523,0.0011272234,-0.015290872,-0.10177353,-0.006787461
654,11.0,0.00335235,False,6.3824363,-0.029667314,0.02959077,0.03155193,-0.03770112,0.029447826,-0.034004834,-0.03288215,0.01960034,0.109653845
655,4.0,0.0012190365,False,166.92888,-0.03137187,0.030033672,0.03320131,-0.040265154,0.03021515,-0.035989624,-0.034234826,0.018448517,0.107752554
656,37.0,0.011276087,False,12.31633,-0.03054206,0.028213004,0.031946804,-0.03834083,0.027478699,-0.034713138,-0.035318762,0.015083238,0.10620147
657,312738.0,95.30976,False,0.43997952,0.006993145,-0.119863264,-0.02099701,0.019486014,-0.0808197,0.011869346,0.03520811,-0.09079717,-0.06633856
658,3.0,0.0009142774,False,1025.9473,-0.03419045,0.031887695,0.036453284,-0.04169325,0.031229107,-0.036660913,-0.0376025,0.020332985,0.107866704
659,4.0,0.0012190365,False,3288.4219,-0.033932053,0.03150921,0.03594684,-0.04273261,0.03275089,-0.037936497,-0.037285503,0.017654188,0.108377784
660,17.0,0.005180905,False,283.43674,-0.035715293,0.032249745,0.037855625,-0.04203601,0.031626564,-0.037585642,-0.040174294,0.019283805,0.10878311
661,11.0,0.00335235,False,6.221933,-0.035804212,0.03321409,0.03818775,-0.042676102,0.03444359,-0.037805956,-0.03970924,0.016131949,0.107471816
662,7.0,0.0021333138,False,30.795258,-0.034006484,0.033638135,0.036491502,-0.0402663,0.033617552,-0.03648211,-0.03756519,0.018159231,0.107743695
663,320348.0,97.628975,False,0.7732524,0.068331204,-0.15202463,-0.08303922,0.11575267,-0.14569606,0.06680056,0.053251155,-0.17211668,-0.015187585
664,6.0,0.0018285548,False,8296.2705,-0.034871694,0.033643592,0.037254296,-0.040063314,0.033887513,-0.036257286,-0.038556576,0.020677386,0.10837229
665,21144.0,6.4438267,False,792.91943,0.35625488,-0.1056477,-0.23521066,0.25081512,-0.075818464,0.43848112,0.3722595,0.054974433,0.015103994
